user_id,item_id,predicted_score
u3,s3,4.7
u3,s9,4.0
u3,s11,3.88
u3,s18,3.83
u3,s6,3.68
u4,s19,3.94
u4,s7,3.77
u4,s18,3.6
u4,s9,3.6
u4,s11,3.48
u9,s19,3.94
u9,s3,3.69
u9,s11,2.88
u9,s7,2.0
u9,s18,2.0
u8,s19,4.5
u8,s7,4.17
u8,s18,4.17
u8,s9,4.0
u8,s11,3.88
u5,s3,5.0
u5,s7,4.33
u5,s11,4.04
u5,s16,3.44
u5,s15,3.3
u2,s3,4.9
u2,s7,4.37
u2,s18,4.19
u2,s11,4.08
u2,s17,3.52
u6,s3,4.92
u6,s7,4.29
u6,s18,4.13
u6,s9,4.12
u6,s6,4.1
u7,s3,4.53
u7,s19,4.02
u7,s17,3.92
u7,s11,3.71
u7,s15,3.1
u10,s3,4.2
u10,s19,3.67
u10,s7,3.67
u10,s17,3.6
u10,s18,3.5
u1,s19,5.0
u1,s9,5.0
u1,s3,5.0
u1,s11,4.88
u1,s7,4.0
